"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCIH520.PS.1","NCIH520.PS.2","NCIH520.PS.3","NCIH520.PR.1","NCIH520.PR.2","NCIH520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"LINC00649",4.41615137260726,4.55602071552569,4.37666964740167,4.80992553443242,4.86974888168064,4.79181288699956,5.07533421500337,4.64496884955156,6.38805305058535,6.67857424482507,6.78617151279448,5.61046593756662,5.86318773943075,5.9401259047394,4.28377832451371,4.39971520690144,4.38571931442087,3.99099686651505,4.65403799769046,4.68523817832952
"OCLN",7.76613612795366,7.48832683480598,7.63204759333284,8.71656228854625,9.05354020139824,8.85283727435755,8.80449946695726,8.94356273778256,7.19611533135911,7.34588836335866,6.96936925463766,7.04694350999521,7.10030217394075,7.1698707665058,8.43555305891506,8.32415309532142,8.19424286275633,6.88718425362826,6.85110019341746,6.62847858204175
"MSANTD3-TMEFF1",8.21855302717862,8.11329090120156,7.99977117443911,7.93929072468022,8.00735009854218,8.09496266138584,7.66954093185416,7.83631170292621,5.13715326939123,5.21235608070792,5.23223078098063,6.32255410832353,6.4353128592378,6.34104775007521,8.07631983174015,8.16508065995244,8.10690955788511,8.39620133551229,8.42361704385413,8.3364152216414
"CCDC169-SOHLH2",4.81745756644786,5.05211629426663,5.97542256302307,5.74014030484634,6.17745404606941,6.00491841031649,5.65024964377278,5.89225586501263,5.24208389009353,4.74279251255502,5.2700962310589,4.21931315079132,4.57040686578313,4.82217415554092,4.66823878771041,3.94557197650378,3.5853595143437,5.22573025070154,5.30625547646717,5.87244005350728
"BIVM-ERCC5",4.16786140718901,3.76640009603621,4.07484800486335,4.26912935412251,4.59666265957927,4.53096852832497,4.42308611451447,4.56345314073005,5.89469692337575,5.83170719593847,5.85236819523218,5.25781249708743,5.87408349969968,5.83227814999429,4.54402226545116,4.4402589973949,4.3776767413146,5.11910924910975,4.9828317915236,5.39549467797213
"SAE1",10.9023628099597,10.7027655338314,10.6735828750645,10.0705129126708,10.1141220687847,10.1260888803292,10.1643349938404,10.0834412850965,9.40886549840069,9.50619931982448,9.60673266014931,9.58090478893206,9.649317373091,9.79492385964391,10.7542327801065,10.7622698282399,10.770152465089,10.3510640448691,10.3717875699029,10.2716967732018
"ABCC5",4.71873307360471,5.0274299744401,5.469975749117,5.62159493063654,5.74963787630163,5.74356190663089,5.31631726899658,5.4684425796844,7.85716604207711,7.92206555870999,8.13303658631841,6.63328023232764,6.8118326529382,6.8331134301522,5.35873477455706,5.4002350748692,5.35467573528306,5.63991962928715,5.49516212967902,5.04983270423718
"COX17",6.45858950827186,6.78609696268123,6.71085812007556,6.58074872529012,6.73642060986938,6.55111402374195,6.67768959948834,6.88789147354615,7.76426153167706,7.93481674531441,7.82404351045275,8.37038562927814,8.6573663220069,8.31117501627833,7.37821034983252,7.57741302519893,6.8787084896593,6.73168013462928,6.58655757774999,6.94495216310685
"EDIL3",5.49074243925547,5.25744444078929,5.68865687721004,4.93536908337357,5.37174040054623,5.65937356782045,5.23796148775273,5.59358628806127,3.80605592094636,3.07582669724209,3.83589786877944,2.99613091764452,3.64997503504986,3.75918680149546,7.88891879989649,7.90341712878427,7.6524766733176,5.01245809392874,4.25920553330997,4.85018182801263
"CDH11",4.28895131744237,4.87081614422782,4.72044341077056,4.6242155753137,4.50442622065003,4.26423272156048,4.71306900323272,4.1252345206068,5.60423560653142,5.76632409640719,5.76327551870158,4.76633497179673,4.54660452040033,4.26335283848096,8.10184223452245,7.76557233848882,7.75906416089657,8.10012273542747,8.0876543234603,8.24598301389234
