"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCI-H520.PS.1","NCI-H520.PS.2","NCI-H520.PS.3","NCI-H520.PR.1","NCI-H520.PR.2","NCI-H520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"TC0X00008365.hg.1",4.26675124555131,4.45505836769856,4.6319346023566,3.92106737342118,4.56400089955218,4.48756000550961,4.54373758321454,4.34730154694187,3.31120488446915,4.30046611871512,3.50632570666136,2.77954119833223,3.52481442613282,3.66631977812136,2.75035442863734,3.47156462321942,3.81053682786875,4.12500001456485,3.78191533163036,3.81476832705177
"TC0600014162.hg.1",3.12640644275016,2.73959638571989,3.66762297811136,2.75899101122813,2.98754220462263,3.26347417823076,3.22952206542447,3.24424284922335,4.59883081793557,5.1913391138984,5.20349484105981,3.58085548248134,4.0816693676253,3.80115960005411,2.54895383722591,2.87954544021755,2.85093161210882,3.21740961752116,2.94273765554215,3.28824950391269
"TC0100018521.hg.1",5.71958190734702,5.80888483021313,6.04189774011852,5.64282586728048,6.10632507998835,6.30194395796297,6.09331848129893,6.20353742636383,7.81254342232729,8.00458286789147,8.31809776186264,8.41550501828005,8.78849889722526,8.29766844729071,4.16321085021141,4.62834938257718,4.06908597986161,4.75567568465371,4.66381731524364,4.64435043040119
"TC0200015231.hg.1",6.04040624386909,6.19995406246988,5.37404385021574,5.964074816855,6.04149700560809,6.29213346812401,6.07587908683333,5.95426354556822,5.01491482060185,4.50301667159117,4.8240881993357,3.60543627875529,4.18030135362005,3.77258358467102,6.56545261788906,6.37335632821863,6.71134360886062,5.87102455142173,5.96795276831661,5.90704786918386
"TC0X00007946.hg.1",3.42454896793786,3.30735989021809,3.13814588377238,3.27554582508355,4.32136532920281,3.29066439495836,2.94341360875772,2.68194230106875,3.2778070185418,3.14971609298196,4.10341296923452,4.14561907856709,4.25112869118093,3.9490802367604,3.66676132042027,3.85340179571904,3.53276598367968,4.34322357103327,4.27434710667714,4.13603874857351
"TC0600012747.hg.1",3.61243674749865,3.92526163130457,4.48095557809105,4.98456825539203,4.7588023014707,4.85052785583937,4.54246916477831,4.72592350170112,8.28336038904111,8.09990363890926,8.09168818341626,10.610067543968,10.7479889210244,10.7224123485313,4.3866514249906,4.54108672157329,4.61221327968124,4.64351613811233,4.08690688836156,3.64913030270798
"TC1700010811.hg.1",8.83572856220506,9.01307790346593,8.74013056458432,7.88325081862343,7.91283459551098,7.92869640485021,7.86144943261315,8.07749445067628,6.22309710735045,6.4976721689334,6.5006637988315,5.85245764476601,5.73695236295403,6.47241446074181,7.40909775001464,7.31636578315812,7.33628559133986,7.2431419729663,7.24665500464449,7.35224749423488
"TC2000007973.hg.1",7.21668893367889,7.20724479569186,7.37463012819485,6.35638219901318,6.54158348934832,6.40644796837044,6.16761457148205,6.30316174395055,4.5314474880022,4.22935049971335,4.57179267035726,4.58780756262748,4.08074107451177,4.32271460653393,4.33655002107932,4.76943780875702,4.96340221147389,4.30196963734435,4.41993142682974,5.12720868019646
"TC0400006789.hg.1",3.38545172369224,3.6297574494342,2.89662388247382,3.50349208852199,3.41263311047353,2.59671491034019,3.43249416229783,2.88083157367014,2.95334344976661,2.86424534007561,2.62918974489461,2.50009230154111,2.94563917248038,2.85627567688669,5.0083328284119,4.16489204781424,4.53463921807112,4.87011859943161,4.6176383528691,2.57045445347455
"TC0400006802.hg.1",5.46507719407593,5.51449978920344,4.83493738775372,4.83377133149681,4.40281329907353,4.55539745740879,4.54423088026292,4.78405062795004,4.76731898190965,4.66985097756304,4.23517521154173,4.76180012750924,4.43704325176172,4.59872369101408,5.50242369261767,5.61968245666327,5.76494636784498,5.6901607730472,5.3209406269961,5.44307235635422
